page name,extracted <h1> text,extracted <label> text
acb1ds,Air  circuit breaker LT Main incomer UPS input pannel | VT-FM-UTM-ACB-017,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb20ds,Air  circuit breaker LT Bus coupler2 | VT-FM-UTM-ACB-036,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb21ds,Air  circuit breaker LT Futurebrazing OVEN 6 | VT-FM-UTM-ACB-037,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb22ds,Air  circuit breaker LT Futurebrazing OVEN 6 | VT-FM-UTM-ACB-038,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb23ds,Air  circuit breaker LT Spare for solar | VT-FM-UTM-ACB-039,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb24ds,Air  circuit breaker LT APFCR 800KVAR | VT-FM-UTM-ACB-040,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb25ds,Air  circuit breaker LT ICS OF Transformer12 | VT-FM-UTM-ACB-041,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb26ds,Air  circuit breaker LTI-C Supply from SYP16 | VT-FM-UTM-ACB-042,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb27ds,Air  circuit breaker LT Bus coupler3 | VT-FM-UTM-ACB-043,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb28ds,Air  circuit breaker LT spare for solar | VT-FM-UTM-ACB-044,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb29ds,Air  circuit breaker LT 750 KVAR APFC PANNEL | VT-FM-UTM-ACB-045,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb2ds,Air  circuit breaker LT Incoming supply from main mcc panel | VT-FM-UTM-ACB-018,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb30ds,Air  circuit breaker LT PHL2 MCC Panel | VT-FM-UTM-ACB-046,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb31ds,Air  circuit breaker LT MCC  COMP UTILITY | VT-FM-UTM-ACB-047,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb32ds,Air  circuit breaker LT ICS of Transformer4 | VT-FM-UTM-ACB-048,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb33ds,Air  circuit breaker LT ICS of DG Panel4 | VT-FM-UTM-ACB-049,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb34ds,Air  circuit breaker LT W-H MPDB | VT-FM-UTM-ACB-050,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb35ds,Air  circuit breaker LT 400 KVAR Capacitor panel | VT-FM-UTM-ACB-051,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb36ds,Air  circuit breaker LT 800KVAR APFC panel | VT-FM-UTM-ACB-052,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb37ds,Air  circuit breaker LT Main MCC Pannel | VT-FM-UTM-ACB-053,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb38ds,Air  circuit breaker LT Main MCC Pannel | VT-FM-UTM-ACB-054,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb39ds,Air  circuit breaker LT ICS of 500 kva DG4 Future | VT-FM-UTM-ACB-055,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb3ds,Air  circuit breaker LT UPS incomer pannel | VT-FM-UTM-ACB-019,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb40ds,Air  circuit breaker LT ICS of 500 kva DG5 Future | VT-FM-UTM-ACB-056,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb41ds,Air  circuit breaker LT ICS of 500 kva DG6 Future | VT-FM-UTM-ACB-057,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb42ds,Air  circuit breaker LT DG Syn Panel | VT-FM-UTM-ACB-058,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb43ds,Air  circuit breaker LT ICS of 1010 kva DG 1 | VT-FM-UTM-ACB-059,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb44ds,Air  circuit breaker LT ICS of 1010 kva DG 2 | VT-FM-UTM-ACB-060,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb45ds,Air  circuit breaker LT ICS of 1010 kva DG 3 Future | VT-FM-UTM-ACB-061,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb46ds,Air  circuit breaker LT Main MCC panel | VT-FM-UTM-ACB-062,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb47ds,Air  circuit breaker LT 800 FP Auto change over | VT-FM-UTM-ACB-063,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb48ds,Air  circuit breaker LT 750 KVAR APFC panel 4 | VT-FM-UTM-ACB-064,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb49ds,Air  circuit breaker LT 800KVAR APFC panel 3 | VT-FM-UTM-ACB-065,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb4ds,Air  circuit breaker LT Penthouse level mcc02 | VT-FM-UTM-ACB-020,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb50ds,Air  circuit breaker LT Sub Dist for MECH Bay 01 | VT-FM-UTM-ACB-066,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb51ds,Air  circuit breaker LT WH MPDB | VT-FM-UTM-ACB-067,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb52ds,Air  circuit breaker LT 3200 amp solar i-c feeder TPHLI | VT-FM-UTM-ACB-6181,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb53ds,Air  circuit breaker LT 3200 amp solar i-c feeder TPHLI | VT-FM-UTM-ACB-6182,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb54ds,Air  circuit breaker LT 3200 amp solar i-c feeder TPHLII | VT-FM-UTM-ACB-6183,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb55ds,Air  circuit breaker LT 3200 amp solar i-c feeder TPHLII | VT-FM-UTM-ACB-6184,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb56ds,Air  circuit breaker LT 3200 amp solar i-c feeder TPHLII | VT-FM-UTM-ACB-6185,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb57ds,Air  circuit breaker ABB 1600 amp  WCCVFD1 TPHLII | VT-FM-UTM-ACB-6186,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb58ds,Air  circuit breaker ABB 1600 amp  WCCVFD2 TPHLII | VT-FM-UTM-ACB-6187,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb59ds,Air circuit breaker LT  AdminSolar injection Panel | VT-FM-UTM-ACB-6279,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
